Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[km/h],[deg],[deg],[deg],[deg],[km/h],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[m],[deg],[m],[m],[deg],[m],,,[g/L],[deg C],[kPa],[%]
10/09/2025 18:45:04,Robban,,9 Iron,120.86818943826094,1.8675652742385864,2.299481153488159,-4.684640407562256,-6.984121322631836,136.64105584828812,1.1304964232800385,24.099323272705078,-3.560342788696289,5473.45458984375,1189.564208984375,5601.22900390625,Estimated,-12.261603355407715,18.25065040588379,97.08011627197266,-8.492505073547363,-14.336800575256348,104.2619400024414,-8.745566368103027,-15.852716445922852,,,1.1957287,21.11,101.0,0
10/09/2025 18:45:46,Robban,,9 Iron,116.72703369356834,-0.5317463874816895,16.235069274902344,-2.2097930908203125,-18.444862365722656,124.33392000307883,1.0651681625824578,24.980424880981445,0.216271311044693,3711.134521484375,422.8587341308594,3735.14794921875,Estimated,-6.500432968139648,14.874669075012207,87.32610321044922,-1.651023507118225,-2.516213893890381,97.38214874267578,-1.8323756456375122,-3.113939046859741,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:46:12,Robban,,9 Iron,121.37077234918289,1.6531791687011719,5.451550483703613,-1.1070308685302734,-6.558581352233887,144.20453246352244,1.1881322798922873,31.86127281188965,-0.22720403969287872,4719.8232421875,967.2026977539062,4817.9052734375,Measured,-11.580921173095703,28.322004318237305,104.5886001586914,-4.986487865447998,-9.090909957885742,110.68458557128906,-5.184288501739502,-10.00141716003418,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:46:33,Robban,,9 Iron,,,,,0.0,150.3798052332652,-41.77220153808594,32.667423248291016,-0.018237460404634476,5156.99853515625,1494.6883544921875,5369.23876953125,Measured,-16.16353988647461,31.555835723876953,107.3471450805664,-7.173128128051758,-13.404205322265625,112.53512573242188,-7.412776947021484,-14.518921852111816,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:47:13,Robban,,9 Iron,130.77379827402777,4.832751750946045,3.465059757232666,-2.6323885917663574,-6.097448348999023,148.15502063613974,1.1329105875298564,16.37700653076172,-1.7287311553955078,3086.60546875,1782.05224609375,3564.104736328125,Estimated,-30.0,11.225841522216797,102.54318237304688,-10.221063613891602,-18.19595718383789,116.75949096679688,-11.266993522644043,-22.812612533569336,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:47:32,Robban,,9 Iron,131.3135698759019,-2.698540210723877,0.14508056640625,1.8623942136764526,1.7173136472702026,158.46488482477181,1.2067670155836088,18.506738662719727,1.5479663610458374,3761.4580078125,635.725341796875,3814.8017578125,Measured,-9.592926979064941,17.74081039428711,122.99590301513672,-1.8321621417999268,-3.9325966835021973,134.54383850097656,-2.120802879333496,-4.979068279266357,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:47:56,Robban,,9 Iron,145.09077137855476,3.1891844272613525,2.6779022216796875,2.045985698699951,-0.6319165229797363,174.66597049671577,1.2038392851396227,17.13332176208496,2.0156970024108887,6030.5087890625,-119.688720703125,6031.6962890625,Estimated,1.1370116472244263,23.035430908203125,133.8497772216797,2.7697267532348633,6.467952728271484,141.31051635742188,2.7788288593292236,6.850910663604736,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:48:23,Robban,,9 Iron,141.399903664745,5.445651531219482,9.493010520935059,2.727834701538086,-6.765175819396973,152.6434264692432,1.0795157741490138,21.511905670166016,3.428537368774414,980.5100708007812,566.0977783203125,1132.195556640625,Measured,-30.000001907348633,14.6639404296875,119.14897155761719,-1.1371161937713623,-2.364816188812256,140.43199157714844,-1.853718876838684,-4.542941093444824,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:49:58,Robban,,6 Iron,140.7767458991111,0.3656555712223053,-4.064156532287598,10.144563674926758,14.208720207214355,168.8100013655731,1.199132713911091,18.953275680541992,7.82443904876709,8344.953125,-1334.3785400390625,8450.96484375,Measured,9.08482837677002,24.17043685913086,123.39244842529297,13.648332595825195,29.115909576416016,125.73568725585938,13.690933227539062,29.759668350219727,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:50:39,Robban,,6 Iron,138.37631752160223,0.31045660376548767,-7.467554569244385,0.3856877088546753,7.85324239730835,176.28940517208912,1.2739853779138777,16.635732650756836,-0.6175800561904907,6188.27685546875,1367.7164306640625,6337.61962890625,Estimated,-12.463004112243652,22.524564743041992,133.52337646484375,-6.798898220062256,-15.807092666625977,140.9014892578125,-7.069327354431152,-17.34080696105957,,,1.1947999,18.88889,100.7207,68
10/09/2025 18:51:17,Robban,,6 Iron,139.28071132933718,-2.899625778198242,-4.877175807952881,1.104307770729065,5.981483459472656,167.16264397984574,1.2001851683868856,16.512962341308594,0.29683712124824524,5825.55908203125,965.3856201171875,5905.0068359375,Measured,-9.40929126739502,19.505159378051758,125.9320297241211,-3.931488037109375,-8.634389877319336,134.033447265625,-4.160853862762451,-9.725103378295898,,,1.1947999,18.88889,100.7207,68
